player,player_id,pos,ht_in_in,wt,birth_date,colleges,from,to,debut,hof
Darrel Brown,brownda01,F,74,175,1923-03-14,Humboldt State University,1949,1949,1948-11-04T00:00:00Z,FALSE
Walt Budko,budkowa01,F-C,77,220,1925-07-30,Columbia University,1949,1952,1948-11-04T00:00:00Z,FALSE
Jack Dwan,dwanja01,F-G,76,200,1921-05-03,Loyola Chicago,1949,1949,1948-11-04T00:00:00Z,FALSE
Earl Gardner,gardnea01,F,75,195,1923-09-18,DePauw University,1949,1949,1948-11-04T00:00:00Z,FALSE
John Hazen,hazenjo01,G,74,172,1927-03-02,Indiana State University,1949,1949,1948-11-04T00:00:00Z,FALSE
Leo Katkaveck,katkale01,G,72,185,1923-04-17,NC State,1949,1950,1948-11-04T00:00:00Z,FALSE
Dan Kraus,krausda01,G,72,195,1923-02-13,Georgetown,1949,1949,1948-11-04T00:00:00Z,FALSE
Herb Krautblatt,krauthe01,G,73,190,1926-11-19,Rider University,1949,1949,1948-11-04T00:00:00Z,FALSE
George Mikan,mikange01,C,82,245,1924-06-18,DePaul,1949,1956,1948-11-04T00:00:00Z,TRUE
Fred Paine,painefr01,F,77,210,1925-12-07,Westminster College of Pennsylvania,1949,1949,1948-11-04T00:00:00Z,FALSE
Jim Pollard,pollaji01,F-C,76,185,1922-07-09,Stanford,1949,1955,1948-11-04T00:00:00Z,TRUE
Les Pugh,pughle01,C-F,79,190,1922-09-18,Ohio State,1949,1950,1948-11-04T00:00:00Z,FALSE
Howie Rader,raderho01,G-F,73,190,1921-03-29,Long Island University,1949,1949,1948-11-04T00:00:00Z,FALSE
Herm Schaefer,schaehe01,G-F,72,175,1918-12-20,Indiana,1949,1950,1948-11-04T00:00:00Z,FALSE
Howie Shannon,shannho01,G-F,74,175,1923-06-10,"University of North Texas, Kansas State",1949,1950,1948-11-04T00:00:00Z,FALSE
Don Smith,smithdo01,G-F,74,190,1920-07-27,Minnesota,1949,1949,1948-11-04T00:00:00Z,FALSE
Andy Tonkovich,tonkoan01,G,73,185,1922-11-01,Marshall,1949,1949,1948-11-04T00:00:00Z,FALSE
Brady Walker,walkebr01,F-C,78,205,1921-03-15,BYU,1949,1952,1948-11-04T00:00:00Z,FALSE
John Mandic,mandijo01,F-C,76,205,1919-10-03,Oregon State,1949,1950,1948-11-05T00:00:00Z,FALSE
Dick Shrider,shriddi01,G,74,190,1923-02-07,Ohio University,1949,1949,1948-11-05T00:00:00Z,FALSE
Bill Calhoun,calhobi01,F-G,75,180,1927-11-04,City College of San Francisco,1949,1955,1948-11-06T00:00:00Z,FALSE
Fran Curran,currafr01,G,72,175,1922-09-09,Notre Dame,1949,1950,1948-11-06T00:00:00Z,FALSE
Bob Davies,daviebo01,G-F,73,175,1920-01-15,Seton Hall,1949,1955,1948-11-06T00:00:00Z,TRUE
Andy Duncan,duncaan01,F-C,78,195,1922-04-17,William & Mary,1949,1951,1948-11-06T00:00:00Z,FALSE
Joe Graboski,grabojo01,F-C,79,195,1930-01-15,NA,1949,1962,1948-11-06T00:00:00Z,FALSE
Red Holzman,holzmre01,G,70,175,1920-08-10,City College of New York,1949,1954,1948-11-06T00:00:00Z,TRUE
Arnie Johnson,johnsar01,F-C,77,236,1920-05-16,Bemidji State University,1949,1953,1948-11-06T00:00:00Z,FALSE
Whitey Kachan,kachawh01,G,74,175,1925-09-15,DePaul,1949,1949,1948-11-06T00:00:00Z,FALSE
Walt Kirk,kirkwa01,G-F,75,173,1924-09-03,Illinois,1949,1952,1948-11-06T00:00:00Z,FALSE
Andrew Levane,levanan01,F-G,74,190,1920-04-11,St. John's,1949,1953,1948-11-06T00:00:00Z,FALSE
Lionel Malamed,malamli01,G,69,150,1924-11-15,City College of New York,1949,1949,1948-11-06T00:00:00Z,FALSE
Ed Mikan,mikaned01,C-F,80,230,1925-10-20,DePaul,1949,1954,1948-11-06T00:00:00Z,FALSE
Mike Novak,novakmi01,C-F,81,219,1915-04-23,Loyola Chicago,1949,1954,1948-11-06T00:00:00Z,FALSE
Arnie Risen,risenar01,C-F,81,200,1924-10-09,"Eastern Kentucky University, Ohio State",1949,1958,1948-11-06T00:00:00Z,TRUE
Bill Roberts,roberbi01,C,81,210,1925-03-13,Wyoming,1949,1950,1948-11-06T00:00:00Z,FALSE
Kenny Rollins,rollike01,G,72,168,1923-09-14,Kentucky,1949,1953,1948-11-06T00:00:00Z,FALSE
Odie Spears,spearod01,G,77,205,1924-06-17,Western Kentucky,1949,1957,1948-11-06T00:00:00Z,FALSE
Bobby Wanzer,wanzebo01,G,72,170,1921-06-04,Seton Hall,1949,1957,1948-11-06T00:00:00Z,TRUE
Al Lucas,lucasal01,F-G,75,195,1922-07-04,Fordham,1949,1949,1948-11-09T00:00:00Z,FALSE
Ward Williams,williwa01,F,76,195,1923-06-26,Indiana,1949,1949,1948-11-14T00:00:00Z,FALSE
Ray Ellefson,ellefra01,C,80,230,1922-11-18,West Texas A&M University,1949,1951,1948-11-19T00:00:00Z,FALSE
Harry Gallatin,gallaha01,F-C,78,210,1927-04-26,Truman State University,1949,1958,1948-11-20T00:00:00Z,TRUE
Jim Browne,brownji01,C,82,235,1930-01-01,NA,1949,1950,1948-11-21T00:00:00Z,FALSE
Dillard Crocker,crockdi01,F-G,76,205,1925-01-19,Western Michigan,1949,1953,1948-11-25T00:00:00Z,FALSE
Arnie Ferrin,ferriar01,F-G,74,180,1925-07-29,Utah,1949,1951,1948-11-28T00:00:00Z,FALSE
Donnie Forman,formado01,G,70,175,1926-01-17,NYU,1949,1949,1948-11-28T00:00:00Z,FALSE
Tom Kelly,kellyto01,G,72,170,1924-03-05,NYU,1949,1949,1948-12-06T00:00:00Z,FALSE
Paul Napolitano,napolpa01,F-G,74,185,1923-02-03,San Francisco,1949,1949,1948-12-07T00:00:00Z,FALSE
Otto Schnellbacher,schneot01,F-G,76,185,1923-04-15,Kansas,1949,1949,1948-12-22T00:00:00Z,FALSE
Jack Eskridge,eskrija01,C-F,77,200,1924-01-21,Kansas,1949,1949,1948-12-23T00:00:00Z,FALSE
Jack Maddox,maddoja01,F-G,75,185,1919-12-10,"SMU, West Texas A&M University",1949,1949,1948-12-23T00:00:00Z,FALSE
Bill Miller,millebi01,F,75,190,1924-11-24,UNC,1949,1949,1948-12-28T00:00:00Z,FALSE
Ray Ramsey,ramsera01,G-F,74,165,1921-07-18,Bradley,1949,1949,1948-12-29T00:00:00Z,FALSE
Jack Nichols,nichoja01,C-F,79,222,1926-04-09,Washington,1949,1958,1949-01-01T00:00:00Z,FALSE
Bill Henry,henrybi01,C,81,215,1924-12-27,Rice University,1949,1950,1949-01-08T00:00:00Z,FALSE
Jim Springer,sprinji01,C,81,235,1926-06-17,NA,1949,1949,1949-01-28T00:00:00Z,FALSE
Bob Brown,brownbo01,F,76,205,1923-11-12,Miami University,1949,1950,1949-02-01T00:00:00Z,FALSE
George Kaftan,kaftage01,F,75,190,1928-02-22,Holy Cross,1949,1953,1949-02-01T00:00:00Z,FALSE
Dermie O'Connell,oconnde01,G,72,174,1928-04-13,Holy Cross,1949,1950,1949-02-01T00:00:00Z,FALSE
Doug Holcomb,holcodo01,F,76,200,1921-02-09,Wisconsin,1949,1949,1949-02-05T00:00:00Z,FALSE
Joe Colone,colonjo01,F,77,210,1924-01-23,Bloomsburg University of Pennsylvania,1949,1949,1949-02-06T00:00:00Z,FALSE
Jim Spruill,spruiji01,G,74,225,1923-02-26,Rice University,1949,1949,1949-02-07T00:00:00Z,FALSE
Jake Bornheimer,bornhja01,F-C,77,200,1927-06-29,Muhlenberg College,1949,1950,1949-02-10T00:00:00Z,FALSE
Gene James,jamesge01,F,76,180,1925-02-15,Marshall,1949,1951,1949-02-17T00:00:00Z,FALSE
Ed Bartels,barteed01,F,77,195,1925-10-08,NC State,1950,1951,1949-10-29T00:00:00Z,FALSE
Gene Berce,bercege01,G-F,71,175,1926-11-22,Marquette,1950,1950,1949-10-29T00:00:00Z,FALSE
Jack Cotton,cottoja01,F-C,79,200,1924-10-25,Wyoming,1950,1950,1949-10-29T00:00:00Z,FALSE
Earl Dodd,doddea01,F,77,175,1924-11-01,Truman State University,1950,1950,1949-10-29T00:00:00Z,FALSE
Dike Eddleman,eddledi01,F-G,75,189,1922-12-27,Illinois,1950,1953,1949-10-29T00:00:00Z,FALSE
Dee Gibson,gibsode01,F-G,71,175,1923-08-25,Western Kentucky,1950,1950,1949-10-29T00:00:00Z,FALSE
Al Guokas,guokaal01,F-G,77,200,1925-08-07,Saint Joseph's,1950,1950,1949-10-29T00:00:00Z,FALSE
Billy Hassett,hassebi01,G,71,180,1921-10-21,Notre Dame,1950,1951,1949-10-29T00:00:00Z,FALSE
Jack Kerris,kerrija01,F-C,78,215,1925-01-30,Loyola Chicago,1950,1953,1949-10-29T00:00:00Z,FALSE
Duane Klueh,kluehdu01,G,75,175,1926-01-06,Indiana State University,1950,1951,1949-10-29T00:00:00Z,FALSE
Don Otten,ottendo01,C,83,240,1921-04-18,Bowling Green,1950,1953,1949-10-29T00:00:00Z,FALSE
Mac Otten,ottenma01,F-C,79,220,1925-12-16,Bowling Green,1950,1950,1949-10-29T00:00:00Z,FALSE
Red Owens,owensre01,G-F,75,185,1925-09-02,Baylor,1950,1952,1949-10-29T00:00:00Z,FALSE
Warren Perkins,perkiwa01,G-F,75,190,1922-02-02,Tulane,1950,1951,1949-10-29T00:00:00Z,FALSE
Don Ray,raydo01,F-C,77,190,1921-07-08,Western Kentucky,1950,1950,1949-10-29T00:00:00Z,FALSE
Bob Royer,royerbo01,G,70,155,1927-10-15,Indiana State University,1950,1950,1949-10-29T00:00:00Z,FALSE
Whitey Von Nieda,vonniwh01,G-F,73,170,1922-06-19,Penn State,1950,1950,1949-10-29T00:00:00Z,FALSE
Murray Wier,wiermu01,G,69,155,1926-12-12,Iowa,1950,1950,1949-10-29T00:00:00Z,FALSE
Cliff Barker,barkecl01,G,74,185,1921-01-15,Kentucky,1950,1952,1949-11-01T00:00:00Z,FALSE
Leo Barnhorst,barnhle01,F-G,76,190,1924-05-11,Notre Dame,1950,1954,1949-11-01T00:00:00Z,FALSE
Ralph Beard,beardra01,G,70,175,1927-12-02,Kentucky,1950,1951,1949-11-01T00:00:00Z,FALSE
Vince Boryla,borylvi01,F,77,210,1927-03-11,"Notre Dame, Denver",1950,1954,1949-11-01T00:00:00Z,FALSE
Joe Bradley,bradljo01,G,75,175,1928-09-24,Oklahoma State,1950,1950,1949-11-01T00:00:00Z,FALSE
Bob Brannum,brannbo01,F-C,77,215,1926-05-28,"Kentucky, Michigan State",1950,1955,1949-11-01T00:00:00Z,FALSE
Jack Burmaster,burmaja01,G,75,190,1926-12-23,Illinois,1950,1950,1949-11-01T00:00:00Z,FALSE
Jack Coleman,colemja01,F-C,79,195,1924-05-23,Louisville,1950,1958,1949-11-01T00:00:00Z,FALSE
Bobby Cook,cookbo01,G-F,70,155,1923-04-01,Wisconsin,1950,1950,1949-11-01T00:00:00Z,FALSE
Harry Donovan,donovha01,G,74,180,1926-09-10,Muhlenberg College,1950,1950,1949-11-01T00:00:00Z,FALSE
Bob Evans,evansbo01,G,74,175,1925-05-31,Butler,1950,1950,1949-11-01T00:00:00Z,FALSE
Don Grate,gratedo01,F-G,74,185,1923-08-27,Ohio State,1950,1950,1949-11-01T00:00:00Z,FALSE
Alex Groza,grozaal01,C,79,218,1926-10-07,Kentucky,1950,1951,1949-11-01T00:00:00Z,FALSE
Marshall Hawkins,hawkima01,F,75,205,1924-08-03,Tennessee,1950,1950,1949-11-01T00:00:00Z,FALSE
Joe Holland,hollajo01,F,76,185,1925-09-26,Kentucky,1950,1952,1949-11-01T00:00:00Z,FALSE
Wah Wah Jones,joneswa01,F,76,225,1926-07-14,Kentucky,1950,1952,1949-11-01T00:00:00Z,FALSE
Frank Kudelka,kudelfr01,G-F,74,193,1925-06-25,Saint Mary's,1950,1953,1949-11-01T00:00:00Z,FALSE
Walt Lautenbach,lautewa01,G-F,74,185,1922-11-17,Wisconsin,1950,1950,1949-11-01T00:00:00Z,FALSE
Ed Macauley,macaued01,C-F,80,185,1928-03-22,Saint Louis,1950,1959,1949-11-01T00:00:00Z,TRUE
Dick McGuire,mcguidi01,G,72,180,1926-01-25,"St. John's, Dartmouth College",1950,1960,1949-11-01T00:00:00Z,TRUE
Mal McMullen,mcmulma01,F-C,77,210,1927-08-23,Xavier,1950,1951,1949-11-01T00:00:00Z,FALSE
Max Morris,morrima01,F-C,74,195,1925-03-14,Northwestern,1950,1950,1949-11-01T00:00:00Z,FALSE
Jack Parkinson,parkija01,G,72,174,1924-03-04,Kentucky,1950,1950,1949-11-01T00:00:00Z,FALSE
Pep Saul,saulpe01,G-F,74,185,1924-02-16,Seton Hall,1950,1955,1949-11-01T00:00:00Z,FALSE
Carl Shaeffer,shaefca01,F-G,75,185,1924-10-25,Alabama,1950,1951,1949-11-01T00:00:00Z,FALSE
Chips Sobek,sobekch01,G-F,72,180,1920-02-10,Notre Dame,1950,1950,1949-11-01T00:00:00Z,FALSE
Mike Todorovich,todormi01,F-C,77,220,1923-06-11,"Washington University in Saint Louis, Notre Dame, Wyoming",1950,1951,1949-11-01T00:00:00Z,FALSE
Floyd Volker,volkefl01,F-C,76,205,1921-06-21,Wyoming,1950,1950,1949-11-01T00:00:00Z,FALSE
Danny Wagner,wagneda01,G,72,170,1922-08-01,Texas,1950,1950,1949-11-01T00:00:00Z,FALSE
Bob Wood,woodbo01,G,70,NA,1921-10-07,Northern Illinois,1950,1950,1949-11-01T00:00:00Z,FALSE
Nelson Bobb,bobbne01,G,72,170,1924-02-25,Temple,1950,1953,1949-11-02T00:00:00Z,FALSE
Don Boven,bovendo01,F-G,76,210,1925-03-06,Western Michigan,1950,1953,1949-11-02T00:00:00Z,FALSE
Harry Boykoff,boykoha01,C,82,225,1922-07-24,St. John's,1950,1951,1949-11-02T00:00:00Z,FALSE
Joe Dolhon,dolhojo01,G,72,175,1927-07-09,NYU,1950,1951,1949-11-02T00:00:00Z,FALSE
Vern Gardner,gardnve01,F-C,77,200,1925-05-14,Utah,1950,1952,1949-11-02T00:00:00Z,FALSE
Normie Glick,glickno01,F,79,190,1927-11-10,Loyola Marymount,1950,1950,1949-11-02T00:00:00Z,FALSE
Paul Gordon,gordopa01,F,75,185,1927-04-08,Notre Dame,1950,1950,1949-11-02T00:00:00Z,FALSE
Dale Hamilton,hamilda01,G-F,72,180,1919-08-16,Franklin College,1950,1950,1949-11-02T00:00:00Z,FALSE
Bob Harrison,harribo02,G,73,190,1927-08-12,Michigan,1950,1958,1949-11-02T00:00:00Z,FALSE
Leo Kubiak,kubiale01,G,71,160,1927-12-25,Bowling Green,1950,1950,1949-11-02T00:00:00Z,FALSE
Ron Livingstone,livinro01,C,82,220,1925-10-09,"Saint Mary's, Wyoming",1950,1951,1949-11-02T00:00:00Z,FALSE
Slater Martin,martisl01,G,70,170,1925-10-22,Texas,1950,1960,1949-11-02T00:00:00Z,TRUE
Dick Mehen,mehendi01,F-C,77,195,1922-05-20,Tennessee,1950,1952,1949-11-02T00:00:00Z,FALSE
Vern Mikkelsen,mikkeve01,F-C,79,230,1928-10-21,Hamline University,1950,1959,1949-11-02T00:00:00Z,TRUE
Al Miksis,miksial01,C,79,210,1928-02-02,Western Illinois University,1950,1950,1949-11-02T00:00:00Z,FALSE
Jim Nolan,nolanji01,C,80,210,1927-06-09,Georgia Tech,1950,1950,1949-11-02T00:00:00Z,FALSE
Gene Ollrich,ollrige01,G,71,160,1922-06-30,Drake University,1950,1950,1949-11-02T00:00:00Z,FALSE
Stan Patrick,patrist01,F-G,74,185,1922-05-05,Illinois,1950,1950,1949-11-02T00:00:00Z,FALSE
Johnny Payak,payakjo01,G-F,76,174,1926-11-20,Bowling Green,1950,1953,1949-11-02T00:00:00Z,FALSE
Jack Phelan,phelaja01,F,77,195,1925-11-06,DePaul,1950,1950,1949-11-02T00:00:00Z,FALSE
Marv Schatzman,schatma01,F,77,200,1927-02-18,Saint Louis,1950,1950,1949-11-02T00:00:00Z,FALSE
Wayne See,seewa01,G,75,190,1923-11-03,Northern Arizona University,1950,1950,1949-11-02T00:00:00Z,FALSE
Charley Shipp,shippch01,G-F,73,200,1913-12-03,Catholic University of America,1950,1950,1949-11-02T00:00:00Z,FALSE
Paul Walther,walthpa01,G-F,74,160,1927-03-23,Tennessee,1950,1955,1949-11-02T00:00:00Z,FALSE
Frankie Brian,brianfr01,G,73,180,1923-05-01,LSU,1950,1956,1949-11-03T00:00:00Z,FALSE
Bob Carpenter,carpebo01,F-C,77,200,1917-11-06,Texas A&M University-Commerce,1950,1951,1949-11-03T00:00:00Z,FALSE
Al Cervi,cervial01,G-F,71,170,1917-02-12,NA,1950,1953,1949-11-03T00:00:00Z,TRUE
Leroy Chollet,chollle01,F,74,190,1925-03-05,Canisius,1950,1951,1949-11-03T00:00:00Z,FALSE
Bill Closs,clossbi01,F-C,77,195,1922-01-08,Rice University,1950,1952,1949-11-03T00:00:00Z,FALSE
Ray Corley,corlera01,G,72,180,1928-01-14,Georgetown,1950,1953,1949-11-03T00:00:00Z,FALSE
Bill Gabor,gaborbi01,G-F,71,170,1922-05-13,Syracuse,1950,1955,1949-11-03T00:00:00Z,FALSE
Frank Gates,gatesfr01,G,72,160,1920-04-12,Sam Houston State University,1950,1950,1949-11-03T00:00:00Z,FALSE
Hoot Gibson,gibsoho01,F-C,77,198,1921-12-05,Creighton,1950,1950,1949-11-03T00:00:00Z,FALSE
Alex Hannum,hannual01,F-C,79,210,1923-07-19,USC,1950,1957,1949-11-03T00:00:00Z,TRUE
John Hargis,hargijo01,G-F,74,180,1920-08-20,Texas,1950,1951,1949-11-03T00:00:00Z,FALSE
Bob Harris,harribo01,F-C,79,195,1927-03-16,Oklahoma State,1950,1954,1949-11-03T00:00:00Z,FALSE
Ralph Johnson,johnsra01,G,71,170,1921-12-06,Huntington University,1950,1953,1949-11-03T00:00:00Z,FALSE
Milo Komenich,komenmi01,F-C,79,212,1920-06-22,Wyoming,1950,1950,1949-11-03T00:00:00Z,FALSE
Ed Leede,leedeed01,F-G,75,185,1927-07-17,Dartmouth College,1950,1951,1949-11-03T00:00:00Z,FALSE
Johnny Macknowski,macknjo01,G-F,72,180,1923-01-07,Seton Hall,1950,1951,1949-11-03T00:00:00Z,FALSE
Murray Mitchell,mitchmu01,C,78,NA,1923-03-19,Sam Houston State University,1950,1950,1949-11-03T00:00:00Z,FALSE
Jerry Nagel,nagelje01,G,72,190,1928-05-18,Loyola Chicago,1950,1950,1949-11-03T00:00:00Z,FALSE
John Oldham,oldhajo01,G,75,175,1923-06-22,Western Kentucky,1950,1951,1949-11-03T00:00:00Z,FALSE
Ed Peterson,petered01,C,81,220,1924-06-27,Cornell,1950,1951,1949-11-03T00:00:00Z,FALSE
George Ratkovicz,ratkoge01,C-F,78,220,1922-11-13,NA,1950,1955,1949-11-03T00:00:00Z,FALSE
Fred Schaus,schaufr01,F,77,205,1925-06-30,West Virginia,1950,1954,1949-11-03T00:00:00Z,FALSE
Dolph Schayes,schaydo01,F-C,80,220,1928-05-19,NYU,1950,1964,1949-11-03T00:00:00Z,TRUE
Howie Schultz,schulho01,C-F,78,200,1922-07-03,Hamline University,1950,1953,1949-11-03T00:00:00Z,FALSE
Rollie Seltz,seltzro01,G-F,70,165,1924-01-25,Hamline University,1950,1950,1949-11-03T00:00:00Z,FALSE
Ed Stanczak,stanced01,F,73,185,1921-08-15,NA,1950,1951,1949-11-03T00:00:00Z,FALSE
Clint Wager,wagercl01,C-F,78,210,1920-01-20,Saint Mary's University of Minnesota,1950,1950,1949-11-03T00:00:00Z,FALSE
Robert Hahn,hahnro01,C,82,240,1925-08-25,NC State,1950,1950,1949-11-06T00:00:00Z,FALSE
John Pritchard,pritcjo01,C,81,220,1927-01-23,Drake University,1950,1950,1949-11-06T00:00:00Z,FALSE
John Chaney,chanejo01,F-C,75,185,1920-02-29,LSU,1950,1950,1949-11-09T00:00:00Z,FALSE
Joe Mullaney,mullajo01,G,72,165,1924-11-17,Holy Cross,1950,1950,1949-11-10T00:00:00Z,FALSE
Ernie Vandeweghe,vandeer01,F-G,75,195,1928-09-12,Colgate,1950,1956,1949-11-10T00:00:00Z,FALSE
Paul Cloyd,cloydpa01,G-F,74,180,1920-06-13,Wisconsin,1950,1950,1949-11-12T00:00:00Z,FALSE
Johnny Orr,orrjo01,F,75,195,1927-06-10,Beloit College,1950,1950,1949-11-12T00:00:00Z,FALSE
Glen Selbo,selbogl01,G-F,75,196,1926-03-29,Wisconsin,1950,1950,1949-11-13T00:00:00Z,FALSE
Tony Lavelli,lavelto01,F,75,185,1926-07-11,Yale,1950,1951,1949-11-20T00:00:00Z,FALSE
Matt Mazza,mazzama01,F,75,210,1923-09-23,Michigan State,1950,1950,1949-11-20T00:00:00Z,FALSE
Jake Carter,carteja01,F-C,76,195,1924-07-25,Texas A&M University-Commerce,1950,1950,1949-11-25T00:00:00Z,FALSE
Jimmy Darden,dardeji01,G,73,170,1922-06-19,Denver,1950,1950,1949-11-29T00:00:00Z,FALSE
Gene Englund,engluge01,F-C,77,205,1917-10-21,Wisconsin,1950,1950,1949-12-06T00:00:00Z,FALSE
Charlie Parsley,parslch01,G,74,175,1925-10-13,Western Kentucky,1950,1950,1949-12-08T00:00:00Z,FALSE
George Feigenbaum,feigege01,G,73,185,1928-07-02,Kentucky,1950,1953,1949-12-15T00:00:00Z,FALSE
Hook Dillon,dilloho01,F,75,180,1924-01-08,UNC,1950,1950,1949-12-21T00:00:00Z,FALSE
Bud Grant,grantbu01,F,75,195,1927-05-20,Minnesota,1950,1951,1949-12-25T00:00:00Z,FALSE
Howie Janotta,janotho01,F,75,185,1924-10-19,Seton Hall,1950,1950,1949-12-25T00:00:00Z,FALSE
Andy O'Donnell,odonnan01,G,73,180,1925-03-10,Loyola (MD),1950,1950,1950-01-14T00:00:00Z,FALSE
Ken Menke,menkeke01,G,72,168,1922-10-02,Illinois,1950,1950,1950-01-15T00:00:00Z,FALSE
Bill Herman,hermabi01,G,75,170,1924-05-17,Mount Union College,1950,1950,1950-01-31T00:00:00Z,FALSE
Earl Lloyd,lloydea01,F-C,77,200,1928-04-03,West Virginia State University,1951,1960,1950-10-31T00:00:00Z,TRUE
Joe McNamee,mcnamjo01,F-C,78,210,1926-09-24,San Francisco,1951,1952,1950-10-31T00:00:00Z,FALSE
Alan Sawyer,sawyeal01,F,77,195,1928-01-01,UCLA,1951,1951,1950-10-31T00:00:00Z,FALSE
Dick Schnittker,schnidi01,F,77,200,1928-05-27,Ohio State,1951,1958,1950-10-31T00:00:00Z,FALSE
Bill Sharman,sharmbi01,G,73,175,1926-05-25,USC,1951,1961,1950-10-31T00:00:00Z,TRUE
Ed Beach,beached01,F,75,200,1929-01-25,West Virginia,1951,1951,1950-11-01T00:00:00Z,FALSE
Art Burris,burriar01,F,77,220,1924-04-07,Tennessee,1951,1952,1950-11-01T00:00:00Z,FALSE
Chuck Cooper,coopech01,F,77,210,1926-09-29,Duquesne,1951,1956,1950-11-01T00:00:00Z,TRUE
Bob Cousy,cousybo01,G,73,175,1928-08-09,Holy Cross,1951,1970,1950-11-01T00:00:00Z,TRUE
Bob Donham,donhabo01,G-F,74,190,1926-10-11,Ohio State,1951,1954,1950-11-01T00:00:00Z,FALSE
Larry Foust,foustla01,C-F,81,215,1928-06-24,La Salle,1951,1962,1950-11-01T00:00:00Z,FALSE
Joe Hutton,huttojo01,G,73,170,1928-10-06,Hamline University,1951,1952,1950-11-01T00:00:00Z,FALSE
Bob Lavoy,lavoybo01,F-C,79,185,1926-06-29,"Illinois, Western Kentucky",1951,1954,1950-11-01T00:00:00Z,FALSE
Norm Mager,magerno01,F,77,185,1926-03-23,City College of New York,1951,1951,1950-11-01T00:00:00Z,FALSE
Chuck Mrazovich,mrazoch01,F,77,185,1924-02-26,Eastern Kentucky University,1951,1951,1950-11-01T00:00:00Z,FALSE
Ken Murray,murrake01,G-F,74,190,1928-04-20,St. Bonaventure,1951,1955,1950-11-01T00:00:00Z,FALSE
Kevin O'Shea,osheake01,G,74,175,1925-07-10,Notre Dame,1951,1953,1950-11-01T00:00:00Z,FALSE
Don Rehfeldt,rehfedo01,F,79,210,1927-01-07,Wisconsin,1951,1952,1950-11-01T00:00:00Z,FALSE
Jim Riffey,riffeji01,F,76,200,1923-12-14,Tulane,1951,1951,1950-11-01T00:00:00Z,FALSE
Gerry Calabrese,calabge01,G,73,175,1925-02-04,St. John's,1951,1952,1950-11-02T00:00:00Z,FALSE
Cal Christensen,chrisca01,F-C,77,210,1927-06-06,Toledo,1951,1955,1950-11-02T00:00:00Z,FALSE
Ed Gayda,gaydaed01,G-F,76,210,1927-05-16,Washington State,1951,1951,1950-11-02T00:00:00Z,FALSE
Don Lofgran,lofgrdo01,F-C,77,200,1929-11-08,San Francisco,1951,1954,1950-11-02T00:00:00Z,FALSE
Paul Arizin,arizipa01,F-G,76,190,1928-04-09,Villanova,1951,1962,1950-11-04T00:00:00Z,TRUE
Leon Blevins,blevile01,G,74,160,1926-06-25,Arizona,1951,1951,1950-11-04T00:00:00Z,FALSE
Ike Borsavage,borsaik01,C-F,80,220,1924-07-25,Temple,1951,1951,1950-11-04T00:00:00Z,FALSE
Nat Clifton,cliftna01,C-F,78,220,1922-10-13,Xavier University of Louisiana,1951,1958,1950-11-04T00:00:00Z,TRUE
Tommy O'Keefe,okeefto01,G,74,185,1928-06-03,Georgetown,1951,1951,1950-11-04T00:00:00Z,FALSE
Hank DeZonie,dezonha01,C-F,78,215,1922-02-12,Clark Atlanta University,1951,1951,1950-12-03T00:00:00Z,FALSE
Herb Scherer,scherhe01,C,81,212,1928-12-21,Long Island University,1951,1952,1951-02-04T00:00:00Z,FALSE
Don Barksdale,barksdo01,F-C,78,200,1923-03-31,UCLA,1952,1955,1951-11-01T00:00:00Z,TRUE
Jake Fendley,fendlja01,G,72,180,1929-06-12,Northwestern,1952,1953,1951-11-01T00:00:00Z,FALSE
Jack Kiley,kileyja01,G,73,170,1929-01-05,Syracuse,1952,1953,1951-11-01T00:00:00Z,FALSE
George King,kingge01,G,72,175,1928-08-16,University of Charleston,1952,1958,1951-11-01T00:00:00Z,FALSE
Dave Minor,minorda01,G-F,74,185,1922-02-23,"Toledo, UCLA",1952,1953,1951-11-01T00:00:00Z,FALSE
Wally Osterkorn,osterwa01,F-C,77,215,1928-07-06,Illinois,1952,1955,1951-11-01T00:00:00Z,FALSE
Ray Ragelis,ragelra01,F,76,205,1928-12-10,Northwestern,1952,1952,1951-11-01T00:00:00Z,FALSE
Sam Ranzino,ranzisa01,G,73,185,1928-06-23,NC State,1952,1952,1951-11-01T00:00:00Z,FALSE
Don Savage,savagdo01,F-G,75,205,1928-04-09,LeMoyne College,1952,1957,1951-11-01T00:00:00Z,FALSE
Chuck Share,sharech01,C,83,235,1927-03-14,Bowling Green,1952,1960,1951-11-01T00:00:00Z,FALSE
Zeke Sinicola,sinicze01,G,70,165,1929-01-25,Niagara University,1952,1954,1951-11-01T00:00:00Z,FALSE
Elmer Behnke,behnkel01,C,79,210,1929-02-03,Bradley,1952,1952,1951-11-03T00:00:00Z,FALSE
Lew Hitch,hitchle01,F-C,80,200,1929-07-16,Kansas State,1952,1957,1951-11-03T00:00:00Z,FALSE
Mel Hutchins,hutchme01,F-C,78,200,1928-11-22,BYU,1952,1958,1951-11-03T00:00:00Z,FALSE
Neil Johnston,johnsne01,C,80,210,1929-02-04,Ohio State,1952,1959,1951-11-03T00:00:00Z,TRUE
John McConathy,mcconjo01,F,77,195,1930-04-09,Northwestern State University,1952,1952,1951-11-03T00:00:00Z,FALSE
Ralph O'Brien,obriera01,G,69,160,1928-04-08,Butler,1952,1953,1951-11-03T00:00:00Z,FALSE
